feature,timing,modelInputAllowed
lane,STRICT_LAG_PRIOR_DATE,True
jcd,STRICT_LAG_PRIOR_DATE,True
race_no,STRICT_LAG_PRIOR_DATE,True
lane_prior_count,STRICT_LAG_PRIOR_DATE,True
lane_prior_win_rate,STRICT_LAG_PRIOR_DATE,True
venue_lane_prior_count,STRICT_LAG_PRIOR_DATE,True
venue_lane_prior_win_rate,STRICT_LAG_PRIOR_DATE,True
racer_prior_count,STRICT_LAG_PRIOR_DATE,True
racer_prior_win_rate,STRICT_LAG_PRIOR_DATE,True
racer_prior_top2_rate,STRICT_LAG_PRIOR_DATE,True
racer_prior_mean_finish,STRICT_LAG_PRIOR_DATE,True
racer_prior5_win_rate,STRICT_LAG_PRIOR_DATE,True
racer_prior10_win_rate,STRICT_LAG_PRIOR_DATE,True
days_since_previous_race,STRICT_LAG_PRIOR_DATE,True
feature_availability_count,STRICT_LAG_PRIOR_DATE,True
classification,POST_RACE_OR_UNKNOWN,False
finish_position,POST_RACE_OR_UNKNOWN,False
target,POST_RACE_OR_UNKNOWN,False
